trial_id,kind,gt_miou,best_so_far,regret_vs_ceiling,k_y,r_surface_min,hough_oblique_threshold,hough_horizontal_threshold,line_merge_distance,line_snap_tolerance_px,segmentation_slot_inset_y,r_surface_min_ceiling_ref
0,sam4tun_static,0.1719663166806335,0.1719663166806335,0.7631336833193665,1119.0077525328509,2.7397,37.0,37.0,12.0,37.0,0.0,2.7397
1,intrinsic_r_otsu,0.17059605785635545,0.1719663166806335,0.7631336833193665,2160.3299325857292,2.7397,77.0,98.0,6.1473,27.7274,6.9606,2.7397
2,random,0.07814044901571364,0.1719663166806335,0.7631336833193665,1538.1837131304264,2.7468,31.0,28.0,7.7379,8.2957,0.892,2.7397
3,random,0.05836244516249538,0.1719663166806335,0.7631336833193665,1611.2080235241992,2.7512,29.0,86.0,3.2067,32.7152,0.0934,2.7397
4,random,0.10075107693337178,0.1719663166806335,0.7631336833193665,533.8174961483361,2.7479,22.0,70.0,6.5855,70.3505,9.0316,2.7397
5,random,0.15812672768218247,0.1719663166806335,0.7631336833193665,204.7736759460605,2.7458,59.0,77.0,8.018,55.7338,3.7697,2.7397
6,random,0.05653547192994187,0.1719663166806335,0.7631336833193665,827.9330520828327,2.7522,81.0,83.0,2.4478,68.3806,23.6237,2.7397
7,random,0.12758271225155482,0.1719663166806335,0.7631336833193665,1968.9493750016622,2.7402,63.0,73.0,5.1392,35.8216,5.9872,2.7397
8,random,0.08785479912196296,0.1719663166806335,0.7631336833193665,3028.2122008256406,2.7469,17.0,24.0,11.6386,54.3321,10.7055,2.7397
9,random,0.05757804904396673,0.1719663166806335,0.7631336833193665,3016.4286247998602,2.7509,83.0,27.0,11.2676,5.3884,18.8244,2.7397
10,random,0.10745278166706229,0.1719663166806335,0.7631336833193665,472.65656213116176,2.7445,69.0,35.0,3.1837,32.2345,4.4852,2.7397
11,random,0.1519350479681407,0.1719663166806335,0.7631336833193665,3276.716756235776,2.7456,54.0,67.0,10.8619,60.7076,14.5163,2.7397
12,random,0.20671929169904907,0.20671929169904907,0.728380708300951,3035.017242149577,2.7531,34.0,99.0,8.4412,58.7814,15.7406,2.7397
13,random,0.10478460358428941,0.20671929169904907,0.728380708300951,1149.7471230343388,2.7439,23.0,76.0,6.2712,49.6014,16.4819,2.7397
14,random,0.07429388179167631,0.20671929169904907,0.728380708300951,3322.4285194091954,2.7508,72.0,100.0,9.0299,13.4904,22.8339,2.7397
15,random,0.2714963146413305,0.2714963146413305,0.6636036853586695,3033.301363140788,2.742,34.0,31.0,7.2376,7.9239,14.7597,2.7397
16,random,0.08812629283013175,0.2714963146413305,0.6636036853586695,2342.7315368086215,2.7529,61.0,31.0,7.3183,7.9765,20.0416,2.7397
17,random,0.05454656969696405,0.2714963146413305,0.6636036853586695,2951.455350557417,2.7519,39.0,105.0,9.7684,14.6853,19.1715,2.7397
18,random,0.05773155692794727,0.2714963146413305,0.6636036853586695,681.808561338516,2.752,77.0,98.0,4.5989,59.1535,21.6818,2.7397
19,random,0.24402902886942598,0.2714963146413305,0.6636036853586695,558.1866019288294,2.7415,34.0,60.0,8.2297,12.5824,9.5146,2.7397
20,random,0.14503474962717405,0.2714963146413305,0.6636036853586695,2289.414141898861,2.7438,40.0,60.0,1.8968,61.4549,14.4764,2.7397
21,random,0.08319974350753447,0.2714963146413305,0.6636036853586695,268.0009540450657,2.7457,35.0,44.0,10.1607,51.4943,4.6786,2.7397
22,random,0.13312686675509494,0.2714963146413305,0.6636036853586695,3054.836038079739,2.7423,66.0,51.0,1.7063,43.9082,18.9365,2.7397
23,random,0.16817470933029346,0.2714963146413305,0.6636036853586695,920.115855174333,2.7504,63.0,89.0,11.9645,75.4385,21.0756,2.7397
24,perturb_ambiguous_lines,0.2714963146413305,0.2714963146413305,0.6636036853586695,3033.301363140788,2.742,34.0,31.0,10.405,78.2486,14.7597,2.7397
25,perturb_wrong_k,0.1933295373451866,0.2714963146413305,0.6636036853586695,3456.0,2.742,34.0,31.0,7.2376,7.9239,14.7597,2.7397
26,perturb_guardrail_smoke,0.20881303915139618,0.2714963146413305,0.6636036853586695,69.12,2.742,34.0,31.0,7.2376,7.9239,14.7597,2.7397
27,perturb_offset_shift,0.29003418080045706,0.29003418080045706,0.645065819199543,3033.301363140788,2.742,34.0,31.0,7.2376,7.9239,14.7597,2.7397
28,perturb_small_segment,0.1860106566820843,0.29003418080045706,0.645065819199543,3033.301363140788,2.742,34.0,31.0,7.2376,7.9239,14.7597,2.7397
29,perturb_wrong_r_low,0.2822395240275678,0.29003418080045706,0.645065819199543,3033.301363140788,2.7404,34.0,31.0,7.2376,7.9239,14.7597,2.7397
30,perturb_weak_hough,0.2714963146413305,0.29003418080045706,0.645065819199543,3033.301363140788,2.742,83.0,110.0,7.2376,7.9239,14.7597,2.7397
31,perturb_misaligned,0.1632936976065196,0.29003418080045706,0.645065819199543,3056.730210633474,2.742,34.0,31.0,7.2376,7.9239,14.7597,2.7397
32,perturb_wrong_r_high,0.1488403547451668,0.29003418080045706,0.645065819199543,3033.301363140788,2.7528,34.0,31.0,7.2376,7.9239,14.7597,2.7397
33,perturb_wrong_k,0.15679410809774444,0.29003418080045706,0.645065819199543,2510.414338639386,2.742,34.0,31.0,7.2376,7.9239,14.7597,2.7397
34,perturb_ambiguous_lines,0.2714963146413305,0.29003418080045706,0.645065819199543,3033.301363140788,2.742,34.0,31.0,10.405,78.2486,14.7597,2.7397
35,perturb_wrong_k,0.1933295373451866,0.29003418080045706,0.645065819199543,3456.0,2.742,34.0,31.0,7.2376,7.9239,14.7597,2.7397
36,perturb_guardrail_smoke,0.20881303915139618,0.29003418080045706,0.645065819199543,69.12,2.742,34.0,31.0,7.2376,7.9239,14.7597,2.7397
37,perturb_offset_shift,0.29003418080045706,0.29003418080045706,0.645065819199543,3033.301363140788,2.742,34.0,31.0,7.2376,7.9239,14.7597,2.7397
38,perturb_small_segment,0.1860106566820843,0.29003418080045706,0.645065819199543,3033.301363140788,2.742,34.0,31.0,7.2376,7.9239,14.7597,2.7397
39,perturb_wrong_r_low,0.2822395240275678,0.29003418080045706,0.645065819199543,3033.301363140788,2.7404,34.0,31.0,7.2376,7.9239,14.7597,2.7397
40,perturb_weak_hough,0.2714963146413305,0.29003418080045706,0.645065819199543,3033.301363140788,2.742,83.0,110.0,7.2376,7.9239,14.7597,2.7397
41,perturb_misaligned,0.1632936976065196,0.29003418080045706,0.645065819199543,3056.730210633474,2.742,34.0,31.0,7.2376,7.9239,14.7597,2.7397
42,perturb_wrong_r_high,0.1488403547451668,0.29003418080045706,0.645065819199543,3033.301363140788,2.7528,34.0,31.0,7.2376,7.9239,14.7597,2.7397
43,perturb_wrong_k,0.15679410809774444,0.29003418080045706,0.645065819199543,2510.414338639386,2.742,34.0,31.0,7.2376,7.9239,14.7597,2.7397
44,perturb_ambiguous_lines,0.2714963146413305,0.29003418080045706,0.645065819199543,3033.301363140788,2.742,34.0,31.0,10.405,78.2486,14.7597,2.7397
45,perturb_wrong_k,0.1933295373451866,0.29003418080045706,0.645065819199543,3456.0,2.742,34.0,31.0,7.2376,7.9239,14.7597,2.7397
46,perturb_guardrail_smoke,0.20881303915139618,0.29003418080045706,0.645065819199543,69.12,2.742,34.0,31.0,7.2376,7.9239,14.7597,2.7397
47,perturb_offset_shift,0.29003418080045706,0.29003418080045706,0.645065819199543,3033.301363140788,2.742,34.0,31.0,7.2376,7.9239,14.7597,2.7397
48,bo,0.09803815304574029,0.29003418080045706,0.645065819199543,3077.1703199405165,2.7425,58.0,47.0,9.5845,14.5556,18.5667,2.7397
49,bo,0.1637395346142699,0.29003418080045706,0.645065819199543,3091.814856123264,2.74,61.0,61.0,3.1923,32.6292,8.2359,2.7397
50,bo,0.13392148485091554,0.29003418080045706,0.645065819199543,3126.277321146086,2.7399,86.0,85.0,8.7734,72.09,5.958,2.7397
51,bo,0.16055903269104094,0.29003418080045706,0.645065819199543,3033.1970260190965,2.7431,90.0,57.0,6.5768,12.938,11.7248,2.7397
52,bo,0.1652248084903958,0.29003418080045706,0.645065819199543,2816.4735163757323,2.7504,81.0,72.0,11.8636,73.7136,1.0979,2.7397
53,bo,0.08282103434878992,0.29003418080045706,0.645065819199543,2980.560351813881,2.7454,63.0,111.0,8.4155,58.2256,14.0499,2.7397
