trial_id,tunnel_id,ring_id,case_id,kind,k_y,per_ring_offsets,r_surface_min_ceiling_ref,gt_miou,best_so_far,regret_vs_ceiling,search_x,hough_threshold,hough_oblique_threshold,hough_horizontal_threshold,merge_distance_threshold,line_merge_distance,single_ring_visual_slot_snap_px,line_snap_tolerance_px,slot_inset_y,segmentation_slot_inset_y,agent_error,n_reclassified_by_r_filter,r_surface_min,r_surface_min_frac,r_surface_min_otsu_ref,k_y_frac,arc_width_entropy,order_branch,branch_is_minus,direction_score_plus,direction_score_minus,direction_margin,direction_select_enabled,det_k_count_match,det_k_confidence_avg,det_block_count_per_ring,det_y_coverage_pct,det_min_y_gap_px,det_y_order_consistency,det_ready_for_segmentation,det_guardrail_violations,bo_surrogate_mean,bo_surrogate_std,ei_value
0,4-1,116,4-1/r116,geometric_0,0.0,"{""0"": {""K"": 0.0, ""B1"": 673.1428571428572, ""A1"": 1346.2857142857144, ""A2"": 2019.4285714285716, ""A3"": 2692.571428571429, ""A4"": 3365.7142857142862, ""B2"": 4038.8571428571436}}",3.7136,0.0915456727280267,0.0915456727280267,0.8135543272719733,"[0.0, 0.0, 0.14285714285714288, 0.28571428571428575, 0.4285714285714286, 0.5714285714285715, 0.7142857142857144, 0.8571428571428573, 0.29333333333333333, 0.36363636363636365, 0.18181818181818182, 0.2, 0.0, 0.5]",37.0,37.0,50.0,3.0,3.0,20.0,20.0,0.0,0.0,False,0,2.9116,0.500028,2.9748,0.0,1.9459101490553137,minus,True,1.589255650987261,2.4142135623720167,0.8249579113847556,True,True,1.0,True,100.0,673.0999999999999,0.0,True,[],,,
1,4-1,116,4-1/r116,geometric_1,0.0,"{""0"": {""K"": 0.0, ""B1"": 329.84000000000003, ""A1"": 1036.64, ""A2"": 1743.44, ""A3"": 2450.2400000000002, ""A4"": 3157.04, ""B2"": 3863.84}}",3.7136,0.1337352951059658,0.1337352951059658,0.7713647048940342,"[0.0, 0.0, 0.07, 0.22, 0.37, 0.52, 0.67, 0.8200000000000001, 0.29333333333333333, 0.36363636363636365, 0.18181818181818182, 0.2, 0.0, 0.5]",37.0,37.0,50.0,3.0,3.0,20.0,20.0,0.0,0.0,False,0,2.9116,0.500028,2.9748,0.0,1.9176519083062522,plus,False,3.8297999959966886,3.44085337723648,0.38894661876020864,True,True,1.0,True,100.0,329.8,1.0,True,[],,,
2,4-1,116,4-1/r116,intrinsic_r_otsu,2945.4498386411906,"{""0"": {""K"": 0.0, ""B1"": 3655.030972435352, ""A1"": 1061.1762792356687, ""A2"": 1414.3835345016942, ""A3"": 4116.183834707186, ""A4"": 24.8101151129881, ""B2"": 3869.628307419595}}",3.7136,0.1501603746954813,0.1501603746954813,0.7549396253045187,"[0.625095466604667, 0.8972138009695755, 0.7756856902451935, 0.22520718999059186, 0.30016628491122543, 0.8735534453962619, 0.005265304565574724, 0.8212284183827663, 0.7970694287520462, 0.4679349528437208, 0.3030324268193135, 0.2784256121007733, 0.2548695876541246, 0.5377573663424124]",75.0,75.0,61.0,4.3334,4.3334,25.8819,25.8819,6.3717,6.3717,False,0,2.9748,0.537737,2.9748,0.625095466604667,1.7020488428809704,plus,False,1.2755446057389153,1.2571533036302807,0.0183913021086346,True,True,1.0,True,100.0,24.90000000000009,0.0,True,[],,,
3,4-1,116,4-1/r116,random,2377.431396209876,"{""0"": {""K"": 0.0, ""B1"": 4690.7973355428585, ""A1"": 3735.0229633352046, ""A2"": 2931.7085291267585, ""A3"": 4659.980215877042, ""A4"": 1014.5345860861422, ""B2"": 754.9191035381635}}",3.7136,0.09842828733907825,0.1501603746954813,0.7549396253045187,"[0.5045482589579533, 0.5534973520744925, 0.9955002834343927, 0.7926619192137531, 0.6221792294411627, 0.9889601476818849, 0.21530869823559895, 0.16021203385784455, 0.6125396042730308, 0.04394200796138337, 0.03568027877359614, 0.5148888202713703, 0.4662060253252891, 0.9171677731928523]",61.0,61.0,15.0,1.3925,1.3925,43.6167,43.6167,11.6552,11.6552,False,0,3.6107,0.917154,2.9748,0.5045482589579533,1.8583562585459998,plus,False,-0.3985719234872021,-0.5569592315082392,0.15838730802103712,True,True,1.0,True,100.0,21.200000000000273,0.0,True,[],,,
4,4-1,116,4-1/r116,random,2964.9141111616414,"{""0"": {""K"": 0.0, ""B1"": 2341.267627574192, ""A1"": 1166.2903125927828, ""A2"": 55.57344835628761, ""A3"": 906.5989024587838, ""A4"": 3260.8553535952265, ""B2"": 945.2588834267214}}",3.7136,0.19402954015708113,0.19402954015708113,0.711070459842919,"[0.6292262544910104, 0.5141176465995139, 0.49687343539350426, 0.24751492202733083, 0.01179402554250586, 0.19240214398531064, 0.6920321208818392, 0.2006067239869952, 0.3695363106022067, 0.0037342420520759534, 0.8300477298017456, 0.15446108106143985, 0.26759930456378545, 0.8803321539808286]",43.0,43.0,10.0,10.1305,10.1305,16.5846,16.5846,6.69,6.69,False,0,3.549,0.88034,2.9748,0.6292262544910104,1.873024962520021,minus,True,1.4656568238542553,2.0077222742411522,0.5420654503868969,True,True,1.0,True,100.0,38.69999999999982,0.0,True,[],,,
5,4-1,116,4-1/r116,random,2402.13429610001,"{""0"": {""K"": 0.0, ""B1"": 3014.3472906331835, ""A1"": 3495.2247039690706, ""A2"": 431.12729105707115, ""A3"": 2549.869686326015, ""A4"": 2392.622777447249, ""B2"": 4105.751142976854}}",3.7136,0.3017260119468371,0.3017260119468371,0.6033739880531629,"[0.5097908098684232, 0.8471502463658693, 0.6397171669425262, 0.7417709473618571, 0.09149560506304566, 0.5411438213764888, 0.50777223630035, 0.8713393766928806, 0.3612640590141576, 0.5981840672072131, 0.05925164234550362, 0.3876318011107287, 0.32303634625820665, 0.15019972907045187]",42.0,42.0,76.0,1.6518,1.6518,34.0724,34.0724,8.0759,8.0759,False,0,2.3253,0.150206,2.9748,0.5097908098684232,1.7352813753567915,plus,False,1.0909394242930328,0.9969512379188044,0.09398818637422846,True,True,1.0,True,100.0,157.2,0.0,True,[],,,
6,4-1,116,4-1/r116,random,3846.5851451954845,"{""0"": {""K"": 0.0, ""B1"": 4611.860031345676, ""A1"": 2780.0408574659955, ""A2"": 2851.025068046259, ""A3"": 3006.2398886746214, ""A4"": 3187.4335488458582, ""B2"": 710.5131463213534}}",3.7136,0.16389821046279285,0.3017260119468371,0.6033739880531629,"[0.8163381038190757, 0.37944617155031246, 0.9787478844112216, 0.5899916930106103, 0.6050562538298513, 0.6379965807883322, 0.6764502438127883, 0.1507880191683687, 0.44031346718818754, 0.23956396182952333, 0.40249829810398163, 0.09670409393174562, 0.9678280510488214, 0.21500403735588003]",48.0,48.0,36.0,5.4275,5.4275,12.2528,12.2528,24.1957,24.1957,False,0,2.4339,0.215003,2.9748,0.8163381038190757,1.4704178581757068,plus,False,1.2975180847018015,0.19418652572530587,1.1033315589764956,True,True,1.0,True,100.0,71.0,0.0,True,[],,,
7,4-1,116,4-1/r116,random,3165.3574462243746,"{""0"": {""K"": 0.0, ""B1"": 4118.650947216465, ""A1"": 3120.355847050794, ""A2"": 620.1737240887365, ""A3"": 3981.9901999608933, ""A4"": 4452.5957824351435, ""B2"": 4259.2559059792075}}",3.7136,0.14820464096306502,0.3017260119468371,0.6033739880531629,"[0.6717651626112849, 0.3004200814790703, 0.8740770261495044, 0.6622147383384538, 0.13161581580830573, 0.8450743208745529, 0.9449481711449795, 0.9039167881959268, 0.5697191478592772, 0.1454599537609269, 0.19246349496833237, 0.9279056847445244, 0.5523264876672638, 0.18055249844891164]",58.0,58.0,26.0,3.1171,3.1171,74.5929,74.5929,13.8082,13.8082,False,0,2.3762,0.180576,2.9748,0.6717651626112849,1.73542546273378,plus,False,0.21148722974393414,0.18414060103698232,0.027346628706951814,True,True,1.0,True,100.0,136.69999999999982,0.0,True,[],,,
8,4-1,116,4-1/r116,random,4165.676085453766,"{""0"": {""K"": 0.0, ""B1"": 2684.399421320583, ""A1"": 1773.0682838441835, ""A2"": 1936.421289524396, ""A3"": 1128.473170156853, ""A4"": 179.3259348891186, ""B2"": 4128.743023810885}}",3.7136,0.17869419220221716,0.3017260119468371,0.6033739880531629,"[0.8840568941964699, 0.6415717052224807, 0.5696942744738079, 0.3762878361299201, 0.41095528215712984, 0.23948921268184487, 0.03805728669123909, 0.876218808109271, 0.4677302168140961, 0.5476351992137353, 0.3221633097802251, 0.7513249198549279, 0.025196870801760363, 0.37218527256520395]",50.0,50.0,70.0,4.5438,4.5438,61.3494,61.3494,0.6299,0.6299,False,0,2.6973,0.372164,2.9748,0.8840568941964698,1.7244218378159588,minus,True,1.8788699575663381,2.7317295459303086,0.8528595883639705,True,True,1.0,True,100.0,163.39999999999986,0.0,True,[],,,
9,4-1,116,4-1/r116,random,143.010587137934,"{""0"": {""K"": 0.0, ""B1"": 4557.202485192397, ""A1"": 3099.36855994148, ""A2"": 2017.773800987236, ""A3"": 2467.863388474183, ""A4"": 4112.676990757217, ""B2"": 1621.9206628852755}}",3.7136,0.17438649211576168,0.3017260119468371,0.6033739880531629,"[0.03035029438411163, 0.12289210220500935, 0.9671482353973677, 0.6577607300385144, 0.4282202463894813, 0.5237401079104803, 0.8728092085647744, 0.3442106669960262, 0.5902909822897147, 0.6836843733395437, 0.35541377702351207, 0.5190984864959901, 0.7652473832785226, 0.9091793139905502]",59.0,59.0,85.0,4.9096,4.9096,43.9324,43.9324,19.1312,19.1312,False,0,3.5973,0.909159,2.9748,0.03035029438411163,1.8142393329605415,plus,False,-1.850243802647387,-2.0653879827446517,0.21514418009726466,True,True,1.0,True,100.0,154.80000000000018,0.0,True,[],,,
