trial_id,kind,gt_miou,best_so_far,regret_vs_ceiling,k_y,r_surface_min,hough_oblique_threshold,hough_horizontal_threshold,line_merge_distance,line_snap_tolerance_px,segmentation_slot_inset_y,r_surface_min_ceiling_ref
0,geometric_0,0.0915456727280267,0.0915456727280267,0.8135543272719733,0.0,2.9116,37.0,50.0,3.0,20.0,0.0,3.7136
1,geometric_1,0.1337352951059658,0.1337352951059658,0.7713647048940342,0.0,2.9116,37.0,50.0,3.0,20.0,0.0,3.7136
2,intrinsic_r_otsu,0.1501603746954813,0.1501603746954813,0.7549396253045187,2945.4498386411906,2.9748,75.0,61.0,4.3334,25.8819,6.3717,3.7136
3,random,0.09842828733907825,0.1501603746954813,0.7549396253045187,2377.431396209876,3.6107,61.0,15.0,1.3925,43.6167,11.6552,3.7136
4,random,0.19402954015708113,0.19402954015708113,0.711070459842919,2964.9141111616414,3.549,43.0,10.0,10.1305,16.5846,6.69,3.7136
5,random,0.3017260119468371,0.3017260119468371,0.6033739880531629,2402.13429610001,2.3253,42.0,76.0,1.6518,34.0724,8.0759,3.7136
6,random,0.16389821046279285,0.3017260119468371,0.6033739880531629,3846.5851451954845,2.4339,48.0,36.0,5.4275,12.2528,24.1957,3.7136
7,random,0.14820464096306502,0.3017260119468371,0.6033739880531629,3165.3574462243746,2.3762,58.0,26.0,3.1171,74.5929,13.8082,3.7136
8,random,0.17869419220221716,0.3017260119468371,0.6033739880531629,4165.676085453766,2.6973,50.0,70.0,4.5438,61.3494,0.6299,3.7136
9,random,0.17438649211576168,0.3017260119468371,0.6033739880531629,143.010587137934,3.5973,59.0,85.0,4.9096,43.9324,19.1312,3.7136
10,random,0.19252491173556457,0.3017260119468371,0.6033739880531629,711.8054542979546,2.453,16.0,79.0,9.7233,43.4753,18.1462,3.7136
11,random,0.14694744427999823,0.3017260119468371,0.6033739880531629,935.4316493414744,3.5762,86.0,59.0,11.7843,43.6642,13.0292,3.7136
12,perturb_guardrail_smoke,0.1983075542880366,0.3017260119468371,0.6033739880531629,94.24,2.3253,42.0,76.0,1.6518,34.0724,8.0759,3.7136
13,perturb_wrong_r_low,0.3017260119468371,0.3017260119468371,0.6033739880531629,2402.13429610001,2.1574,42.0,76.0,1.6518,34.0724,8.0759,3.7136
14,perturb_wrong_k,0.12736716225206182,0.3017260119468371,0.6033739880531629,1712.05139254205,2.3253,42.0,76.0,1.6518,34.0724,8.0759,3.7136
15,perturb_ambiguous_lines,0.3017260119468371,0.3017260119468371,0.6033739880531629,2402.13429610001,2.3253,42.0,76.0,10.7641,77.8179,8.0759,3.7136
16,perturb_wrong_r_high,0.3230586240922682,0.3230586240922682,0.5820413759077319,2402.13429610001,3.6657,42.0,76.0,1.6518,34.0724,8.0759,3.7136
17,perturb_wrong_k,0.12543645340403414,0.3230586240922682,0.5820413759077319,3153.3279020703512,2.3253,42.0,76.0,1.6518,34.0724,8.0759,3.7136
18,perturb_offset_shift,0.24807847687029197,0.3230586240922682,0.5820413759077319,2402.13429610001,2.3253,42.0,76.0,1.6518,34.0724,8.0759,3.7136
19,perturb_misaligned,0.2722412289236936,0.3230586240922682,0.5820413759077319,2535.1794632029496,2.3253,42.0,76.0,1.6518,34.0724,8.0759,3.7136
20,perturb_weak_hough,0.3017260119468371,0.3230586240922682,0.5820413759077319,2402.13429610001,2.3253,85.0,119.0,1.6518,34.0724,8.0759,3.7136
21,perturb_small_segment,0.251532750265952,0.3230586240922682,0.5820413759077319,2402.13429610001,2.3253,42.0,76.0,1.6518,34.0724,8.0759,3.7136
